natureza_despesa,id_unidade,valor,unidade
CUSTEIO,757,"R$       942.692,23",ARQUIVO CENTRAL/DIRECAO
EQUIPAMENTOS E MATERIAL PERMANENTE,757,"R$        14.339,36",ARQUIVO CENTRAL/DIRECAO
EQUIP. MATERIAL PERMANENTE,757,"R$       212.186,99",ARQUIVO CENTRAL/DIRECAO
DIÁRIAS,757,"R$        33.257,39",ARQUIVO CENTRAL/DIRECAO
MAT. CONSUMO,757,"R$        89.907,18",ARQUIVO CENTRAL/DIRECAO
PASSAGENS,757,"R$        41.850,91",ARQUIVO CENTRAL/DIRECAO
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,757,"R$           763,00",ARQUIVO CENTRAL/DIRECAO
SERVIÇOS / UG-GESTÃO,757,"R$     1.388.351,34",ARQUIVO CENTRAL/DIRECAO
SERV. PESSOA JURÍDICA,757,"R$       536.786,26",ARQUIVO CENTRAL/DIRECAO
EXERCÍCIOS ANTERIORES - 1,757,"R$       580.613,66",ARQUIVO CENTRAL/DIRECAO
CUSTEIO,1516,"R$         6.875,00",ASSESSORIA DE COMUNICACAO INSTITUCIONAL
SERV. PESSOA JURÍDICA,84,"R$         2.996,22",AUDITORIA
CUSTEIO,84,"R$       389.862,94",AUDITORIA
EQUIPAMENTOS E MATERIAL PERMANENTE,84,"R$        42.050,00",AUDITORIA
DIÁRIAS,84,"R$         9.099,98",AUDITORIA
MAT. CONSUMO,84,"R$        12.360,74",AUDITORIA
EQUIP. MATERIAL PERMANENTE,84,"R$        83.600,00",AUDITORIA
PASSAGENS,84,"R$        20.174,89",AUDITORIA
SERV. PESSOA JURÍDICA,245,"R$         1.800,00",BANCO DE SERV. TEC. CEDIDOS/AFASTADOS
CUSTEIO,245,"R$         3.643,00",BANCO DE SERV. TEC. CEDIDOS/AFASTADOS
EQUIP. MATERIAL PERMANENTE,245,"R$         7.730,00",BANCO DE SERV. TEC. CEDIDOS/AFASTADOS
SERVIÇOS TIC,256,"R$     2.809.934,31",BIBLIOTECA CENTRAL
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ,256,"R$     6.609.308,63",BIBLIOTECA CENTRAL
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,256,"R$         3.218,00",BIBLIOTECA CENTRAL
SERV. PESSOA FÍSICA,256,"R$         1.594,50",BIBLIOTECA CENTRAL
PASSAGENS,256,"R$        71.769,28",BIBLIOTECA CENTRAL
INDENIZAÇÕES E RESTITUIÇÕE,256,"R$           313,65",BIBLIOTECA CENTRAL
